ID,Term,NewDefinition,Scores,AccessTime
652,potent,"強大的
有效的
有力的","0.5991759778
0.5991759778
0.5991759778","2025-06-28
2025-06-28
2025-06-28"
653,misapprehension,"誤解
錯誤理解","0.7942693888
0.7942693888","2025-03-07
2025-03-07"
654,primitive,"原始的
簡陋的
落後的","0.6032836403
0.6032836403
0.6032836403","2025-06-22
2025-06-22
2025-06-22"
655,probity,"正直
廉潔
誠實","0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04"
656,apropos,"適當地
關於
恰當地","0.823839232
0.823839232
0.823839232","2025-03-09
2025-03-09
2025-03-09"
657,appropriate,"適當的
合適的
挪用
撥款","0.7041045504
0.7041045504
0.7041045504
0.7041045504","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
658,propriety,"禮儀
得體
適當","0.6302848
0.6302848
0.6302848","2025-06-22
2025-06-22
2025-06-22"
659,prosaic,"平淡無奇的
乏味的
散文體的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
660,prose,散文,0.7902848,2025-06-28
661,approximate,"大約的
近似的
估計","0.7041045504
0.7041045504
0.7041045504","2025-06-22
2025-06-22
2025-06-22"
662,impugn,"質疑
非難
攻擊","0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04"
663,compunction,"內疚
懊悔
良心不安","0.813353472
0.813353472
0.813353472","2025-03-09
2025-03-09
2025-03-09"
664,punctilious,"一絲不苟的
嚴謹的
循規蹈矩的","0.6906827776
0.6906827776
0.6906827776","2025-03-09
2025-03-09
2025-03-09"
665,eradicate,"根除
消滅","0.800246272
0.800246272","2025-06-28
2025-06-28"
666,rapacious,"貪婪的
掠奪的","0.7848571085
0.7848571085","2025-06-22
2025-06-22"
667,rectitude,"正直
清廉
公正","0.823839232
0.823839232
0.823839232","2025-03-09
2025-03-09
2025-03-09"
668,resurrect,"使復活
使復甦
恢復","0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04"
669,surreptitious,"秘密的
偷偷摸摸的
鬼祟的","0.823839232
0.823839232
0.823839232","2025-03-09
2025-03-09
2025-03-09"
670,ridiculous,"荒謬的
可笑的
滑稽的","0.7041045504
0.7041045504
0.7041045504","2025-06-22
2025-06-22
2025-06-22"
671,rigor,"嚴格
嚴謹
艱苦","0.8131437568
0.8131437568
0.8131437568","2025-03-09
2025-03-09
2025-03-09"
672,rigorous,"嚴格的
嚴謹的
縝密的","0.8131437568
0.8131437568
0.8131437568","2025-03-09
2025-03-09
2025-03-09"
673,prerogative,"特權
君權
優先權","0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04"
674,assail,"攻擊
抨擊
猛攻","0.8150311936
0.8150311936
0.8150311936","2025-03-09
2025-03-09
2025-03-09"
675,sanctimonious,"假裝虔誠的
偽善的","0.7902848
0.7902848","2025-03-04
2025-03-04"
676,sanction,"批准
認可
制裁
處罰","0.800246272
0.800246272
0.800246272
0.800246272","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
677,insatiable,"不知足的
貪得無厭的
無法滿足的","0.8131437568
0.8131437568
0.8131437568","2025-03-09
2025-03-09
2025-03-09"
678,escalate,"（使）逐步升級
（使）加劇
（使）惡化","0.830130688
0.830130688
0.830130688","2025-06-22
2025-06-22
2025-06-22"
679,transcribe,"轉錄
抄寫
記錄
（將錄音等）轉成文字
（將音樂）改編（供不同樂器或人聲演奏）","0.7041045504
0.7041045504
0.7041045504
0.7041045504
0.7041045504","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
680,inscrutable,"難以理解的
莫測高深的
神秘的","0.823839232
0.823839232
0.823839232","2025-03-09
2025-03-09
2025-03-09"
681,bisect,"將…一分為二
把…分成兩半
把…對半分開","0.792381952
0.792381952
0.792381952","2025-03-07
2025-03-07
2025-03-07"
682,dissemble,"掩飾（真實想法、情感或意圖）
假裝
隱藏","0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04"
683,conservative,"保守的
守舊的
（英國）保守黨的
（政治或社會）保守派人士","0.830130688
0.830130688
0.830130688
0.830130688","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
684,undeserved,"不應得的
不該有的","0.819644928
0.819644928","2025-03-09
2025-03-09"
685,insidious,"隱約的
潛伏的
陰險的
狡猾的","0.7902848
0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04
2025-03-04"
686,assimilate,"同化
（使）融入
吸收（知識、資訊等）","0.83222784
0.83222784
0.83222784","2025-06-28
2025-06-28
2025-06-28"
687,dissonant,"不和諧的
刺耳的
不一致的
衝突的","0.8221615104
0.8221615104
0.8221615104
0.8221615104","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
688,sonorous,"洪亮的
響亮的
低沉渾厚的
響徹的","0.7647244493
0.7647244493
0.7647244493
0.7647244493","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
689,auspicious,"吉利的
吉祥的
有利的","0.7902848
0.7902848
0.7902848","2025-03-07
2025-03-07
2025-03-07"
690,respect,"尊敬
尊重
敬意
方面
關於","0.830130688
0.830130688
0.830130688
0.830130688
0.830130688","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
691,retrospective,"回顧的
追溯的
回顧展","0.792381952
0.792381952
0.792381952","2025-03-07
2025-03-07
2025-03-07"
692,desperate,"絕望的
不顧一切的
非常需要的
極其嚴重的","0.830130688
0.830130688
0.830130688
0.830130688","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
693,disperse,"散開
驅散
傳播
分散","0.792381952
0.792381952
0.792381952
0.792381952","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
694,circumstantial,"依情況而定的
詳盡的
附帶的
間接的 (證據)","0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
695,stalwart,"堅定的
忠實的
健壯的
堅定的支持者
忠實的擁護者","0.77979904
0.77979904
0.77979904
0.77979904
0.77979904","2025-03-09
2025-03-09
2025-03-09
2025-03-09
2025-03-09"
696,static,"靜止的
靜態的
缺乏變化的
靜電
雜訊","0.7902848
0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
697,stilted,"僵硬不自然的
矯揉造作的
誇張的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
698,instigate,"煽動
發起
促使發生","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
699,constrain,"限制
約束
強迫
抑制","0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
700,strip,"脫掉 (衣服)
剝去
拆卸
奪去
條狀物
地帶","0.783862272
0.783862272
0.783862272
0.783862272
0.783862272
0.783862272","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
701,catastrophe,"大災難
浩劫
徹底失敗","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
702,construe,"解釋
理解
分析","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
703,presume,"假定
推測
擅自行動
認為有資格","0.5902848
0.5902848
0.5902848
0.5902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
704,contenance,"面容
臉色
支持 贊同","0.77979904
0.77979904
0.77979904","2025-03-09
2025-03-09
2025-03-09"
705,maintain,"維持
保持
贍養
維修
堅持認為","0.7902848
0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
706,impertinent,"無禮的
魯莽的
不相關的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
707,tenable,"站得住腳的
可防守的
可維持的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
708,intemperance,"不節制
過度
放縱","0.783862272
0.783862272
0.783862272","2025-06-22
2025-06-22
2025-06-22"
709,contemplate,"沉思
仔細考慮
預期
打算","0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
710,attenuate,"使減弱
使變細
使稀薄","0.603382272
0.603382272
0.603382272","2025-06-22
2025-06-22
2025-06-22"
711,tenuous,"纖細的
稀薄的
脆弱的
不確定的","0.7859426468
0.7859426468
0.7859426468
0.7859426468","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
712,interminable,"沒完沒了的
冗長的","0.7812316046
0.7812316046","2025-06-22
2025-06-22"
713,deterrent,"威懾物
遏制物
阻止物","0.77979904
0.77979904
0.77979904","2025-03-09
2025-03-09
2025-03-09"
714,detract,"貶低
有損於
減損","0.663839232
0.663839232
0.663839232","2025-03-09
2025-03-09
2025-03-09"
715,protract,"拖延
延長","0.7902848
0.7902848","2025-06-28
2025-06-28"
716,retract,"撤回
收回
縮回","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
717,tractable,"易於管教的
溫順的
易處理的","0.70422784
0.70422784
0.70422784","2025-06-22
2025-06-22
2025-06-22"
718,intrepid,"無畏的
勇敢的","0.76669184
0.76669184","2025-03-08
2025-03-08"
719,trenchant,"銳利的
尖刻的
清晰有力的","0.813353472
0.813353472
0.813353472","2025-06-22
2025-06-22
2025-06-22"
720,contrite,"悔恨的
深感懊悔的","0.7902848
0.7902848","2025-06-28
2025-06-28"
721,obtrude,"強加於人
闖入
突出","0.603382272
0.603382272
0.603382272","2025-06-22
2025-06-22
2025-06-22"
722,tumultuous,"騷亂的
喧囂的
波濤洶湧的
混亂的","0.77979904
0.77979904
0.77979904
0.77979904","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
723,turmoil,"騷動
混亂
動亂","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
724,conundrum,"謎題
難題
複雜的問題","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
725,contravene,"違反
抵觸","0.70422784
0.70422784","2025-06-22
2025-06-22"
726,vengeance,"報復
復仇","0.67222784
0.67222784","2025-06-22
2025-06-22"
727,convergent,"會聚的
趨同的","0.70422784
0.70422784","2025-06-22
2025-06-22"
728,conversant,"熟悉的
精通的","0.77979904
0.77979904","2025-03-09
2025-03-09"
729,overt,"公開的
明顯的
非秘密的","0.76669184
0.76669184
0.76669184","2025-03-08
2025-03-08
2025-03-08"
730,devious,"狡猾的
不誠實的
彎曲的
迂迴的","0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
731,conviction,"定罪
堅信
信念","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
732,evince,"表明
顯示
表露","0.8066216141
0.8066216141
0.8066216141","2025-06-28
2025-06-28
2025-06-28"
733,vigilant,"警惕的
警戒的","0.7771513856
0.7771513856","2025-03-09
2025-03-09"
734,invigorate,"使精力充沛
使振奮
使活躍","0.800246272
0.800246272
0.800246272","2025-06-28
2025-06-28
2025-06-28"
735,gullible,"易受騙的
輕信的","0.77979904
0.77979904","2025-03-09
2025-03-09"
736,vilify,"誹謗
詆毀
醜化","0.76669184
0.76669184
0.76669184","2025-03-08
2025-03-08
2025-03-08"
737,provisional,"臨時的
暫時的
有條件的","0.8217211085
0.8217211085
0.8217211085","2025-03-09
2025-03-09
2025-03-09"
738,revitalize,"使恢復活力
使復興
使再生","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
739,irrevocable,"不可撤銷的
不可改變的","0.7902848
0.7902848","2025-06-28
2025-06-28"
740,vociferous,"喧嘩的
大聲叫喊的
吵鬧的","0.8494077092
0.8494077092
0.8494077092","2025-06-28
2025-06-28
2025-06-28"
741,devoid,"缺乏的
沒有的
空無的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
742,voluble,"健談的
口若懸河的
流利的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
743,welter,"混亂
雜亂的一堆
翻滾","0.800246272
0.800246272
0.800246272","2025-06-28
2025-06-28
2025-06-28"
744,absurd,"荒謬的
可笑的
不合理的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
745,acquisitive,"貪婪的
想獲得的
有佔有慾的","0.77979904
0.77979904
0.77979904","2025-03-09
2025-03-09
2025-03-09"
746,adamant,"堅決的
固執的
堅硬的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
747,allure,"誘惑
魅力
引誘","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
748,ancillary,"輔助的
附屬的
次要的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
749,archaic,"古老的
過時的
已不用的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
750,assuage,"減輕
緩和
平息","0.5902848
0.5902848
0.5902848","2025-06-28
2025-06-28
2025-06-28"
751,augur,"預示
是…的預兆","0.7902848
0.7902848","2025-06-28
2025-06-28"
752,avant-garde,"前衛的
先鋒的","0.7902848
0.7902848","2025-06-28
2025-06-28"
753,badger,"糾纏
一再煩擾","0.76669184
0.76669184","2025-06-22
2025-06-22"
754,baffle,"使困惑
使 BAFFLE","0.7902848
0.7902848","2025-06-28
2025-06-28"
755,banter,"開玩笑
戲謔","0.783862272
0.783862272","2025-06-22
2025-06-22"
756,bereft,"喪失的
被剝奪的","0.7730747318
0.7730747318","2025-06-22
2025-06-22"
757,blatant,"公然的
明目張膽的","0.7902848
0.7902848","2025-06-28
2025-06-28"
758,blight,"枯萎病
禍害
破壞","0.771410432
0.771410432
0.771410432","2025-06-22
2025-06-22
2025-06-22"
759,bogus,"假的
偽造的","0.7902848
0.7902848","2025-06-28
2025-06-28"
760,braggart,"吹牛大王
吹牛的人","0.7902848
0.7902848","2025-06-28
2025-06-28"
761,buttress,"支持
加強
扶壁","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
762,cagey,"謹慎的
守口如瓶的","0.7935353856
0.7935353856","2025-06-28
2025-06-28"
763,calumnious,"誹謗的
誣衊的","0.5902848
0.5902848","2025-06-28
2025-06-28"
764,caricature,"漫畫
諷刺畫
誇張的描繪","0.5902848
0.5902848
0.5902848","2025-06-28
2025-06-28
2025-06-28"
765,categorical,"絕對的
明確的
無條件的
分類的
屬於某一範疇的","0.7902848
0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
766,comity,"禮讓
友誼
和諧關係
（國家間的）相互尊重","0.7089086833
0.7089086833
0.7089086833
0.7089086833","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
767,conniving,"默許的
縱容的
串通的
密謀的","0.685353472
0.685353472
0.685353472
0.685353472","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
768,contrive,"謀劃
策劃
設計
想出
設法做到","0.7902848
0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
769,dearth,"缺乏
不足
稀少","0.6332552431
0.6332552431
0.6332552431","2025-06-28
2025-06-28
2025-06-28"
770,deterioration,"惡化
變質
退化
衰退","0.5902848
0.5902848
0.5902848
0.5902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
771,detest,"憎恨
厭惡
痛恨","0.50422784
0.50422784
0.50422784","2025-06-28
2025-06-28
2025-06-28"
772,disproportionate,"不成比例的
不相稱的
過大的
過小的","0.635382272
0.635382272
0.635382272
0.635382272","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
773,enfetter,"束縛
桎梏
奴役
使受限制","0.5882827776
0.5882827776
0.5882827776
0.5882827776","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
774,entice,"引誘
誘惑
慫恿","0.70422784
0.70422784
0.70422784","2025-06-28
2025-06-28
2025-06-28"
775,exiguous,"稀少的
少量的
微薄的","0.70422784
0.70422784
0.70422784","2025-06-28
2025-06-28
2025-06-28"
776,exude,"散發
流出
滲出
顯露
洋溢","0.50422784
0.50422784
0.50422784
0.50422784
0.50422784","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
777,foster,"培養
促進
撫育
收養","0.5902848
0.5902848
0.5902848
0.5902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
778,galvanize,"刺激
激勵
使振奮
鍍鋅","0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
779,gauge,"測量
評估
判斷
尺度
規
計量器
口徑","0.7902848
0.7902848
0.7902848
0.7902848
0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
780,gripe,"抱怨
發牢騷
使不舒服","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
781,harangue,"長篇大論的訓斥
慷慨激昂的演說","0.663839232
0.663839232","2025-06-22
2025-06-22"
782,hitherto,"迄今
到目前為止","0.7902848
0.7902848","2025-06-28
2025-06-28"
783,impeachable,"可指責的
可彈劾的
可控告的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
784,imperil,"危及
使陷於危險","0.7902848
0.7902848","2025-06-28
2025-06-28"
785,inchoate,"剛開始的
未成熟的
不成熟的","0.7771513856
0.7771513856
0.7771513856","2025-06-22
2025-06-22
2025-06-22"
786,incisiveness,"敏銳
深刻
切中要害","0.77979904
0.77979904
0.77979904","2025-06-22
2025-06-22
2025-06-22"
787,indifferent,"漠不關心的
不感興趣的
平庸的
無關緊要的","0.76669184
0.76669184
0.76669184
0.76669184","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
788,industrious,"勤奮的
勤勞的","0.70422784
0.70422784","2025-06-28
2025-06-28"
789,inquisitive,"好問的
愛打聽的
好奇的","0.7902848
0.7902848
0.7902848","2025-06-28
2025-06-28
2025-06-28"
790,interplay,"相互作用
相互影響","0.50422784
0.50422784","2025-06-28
2025-06-28"
791,lavish,"豐富的
大量的
慷慨的
奢侈的
揮霍的","0.783862272
0.783862272
0.783862272
0.783862272
0.783862272","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
792,lax,"鬆懈的
不嚴格的
馬虎的","0.7083648
0.7083648
0.7083648","2025-06-22
2025-06-22
2025-06-22"
793,layout,"佈局
版面設計
規劃","0.521462272
0.521462272
0.521462272","2025-06-22
2025-06-22
2025-06-22"
794,lethal,"致命的
危險的","0.737856
0.737856","2025-06-22
2025-06-22"
795,list,"傾斜
列表
目錄","0.737856
0.737856
0.737856","2025-06-22
2025-06-22
2025-06-22"
796,lopsided,"不平衡的
傾向一邊的
歪斜的","0.737856
0.737856
0.737856","2025-06-22
2025-06-22
2025-06-22"
797,malleable,"可塑的
易受影響的
韌性的","0.609856
0.609856
0.609856","2025-06-22
2025-06-22
2025-06-22"
798,momentary,"瞬間的
短暫的","0.609856
0.609856","2025-06-22
2025-06-22"
799,nubulous,"模糊的
朦朧的
多雲的","0.67232
0.67232
0.67232","2025-06-22
2025-06-22
2025-06-22"
800,oblique,"傾斜的
間接的
拐彎抹角的","0.639519232
0.639519232
0.639519232","2025-06-22
2025-06-22
2025-06-22"
801,outgrowth,"結果
產物
自然發展
生長物","0.67232
0.67232
0.67232
0.67232","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
802,overbearing,"專橫的
傲慢的
盛氣凌人的","0.635456
0.635456
0.635456","2025-06-22
2025-06-22
2025-06-22"
803,palliative,"緩和的
治標不治本的
緩解劑
權宜之計","0.6290547057
0.6290547057
0.6290547057
0.6290547057","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
804,philistine,"沒有文化素養的人
俗氣的人
缺乏藝術品味的","0.61186304
0.61186304
0.61186304","2025-06-22
2025-06-22
2025-06-22"
805,phlegmatic,"冷靜的
沉著的
不易動感情的","0.6428288
0.6428288
0.6428288","2025-06-22
2025-06-22
2025-06-22"
806,plastic,"塑膠的
可塑的
有彈性的
人造的","0.7247488
0.7247488
0.7247488
0.7247488","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
807,presage,"預示
預兆","0.5442543821
0.5442543821","2025-06-22
2025-06-22"
808,propensity,"傾向
習性
癖好","0.3278848
0.3278848
0.3278848","2025-06-22
2025-06-22
2025-06-22"
809,querulous,"抱怨的
發牢騷的
易怒的","0.67232
0.67232
0.67232","2025-06-22
2025-06-22
2025-06-22"
810,rebuke,"斥責
指責
訓斥","0.645417472
0.645417472
0.645417472","2025-06-22
2025-06-22
2025-06-22"
811,rebut,"反駁
駁斥
駁回","0.3278848
0.3278848
0.3278848","2025-06-22
2025-06-22
2025-06-22"
812,rehash,"舊事重提
炒冷飯
改頭換面地重複","0.609856
0.609856
0.609856","2025-06-22
2025-06-22
2025-06-22"
813,ridge,"山脊
屋脊
隆起的部分
田埂","0.609856
0.609856
0.609856
0.609856","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
814,schematic,"圖解的
示意圖的
概要的
簡明的","0.67232
0.67232
0.67232
0.67232","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
815,serendipitous,"意外發現的
機緣巧合的
偶然所得的","0.67232
0.67232
0.67232","2025-06-28
2025-06-28
2025-06-28"
816,somatice,"肉體的
軀體的
體細胞的","0.67232
0.67232
0.67232","2025-06-28
2025-06-28
2025-06-28"
817,sordid,"骯髒的
卑鄙的
不道德的
下流的
貪婪的","0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
818,spontaneous,"自發的
自然的
無意識的
即興的","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
819,sterling,"優秀的
可靠的
純粹的
標準的 (指英國貨幣)","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
820,stratification,"分層
層次
地層
社會階層","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
821,syntax,"語法
句法
句法結構","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
822,temerity,"魯莽
大膽
冒失","0.67232
0.67232
0.67232","2025-06-28
2025-06-28
2025-06-28"
823,terse,"簡潔的
簡練的
扼要的","0.635456
0.635456
0.635456","2025-06-22
2025-06-22
2025-06-22"
824,unseemly,"不適當的
不得體的
不雅的","0.51232
0.51232
0.51232","2025-03-08
2025-03-08
2025-03-08"
825,wary,"小心的
警惕的
提防的","0.51232
0.51232
0.51232","2025-03-08
2025-03-08
2025-03-08"
826,exactitude,"精確性
正確性
嚴謹","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
827,coalesce,"合併
聯合
結合
融合","0.51739904
0.51739904
0.51739904
0.51739904","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
828,analgesic,"止痛劑
鎮痛劑
止痛的
鎮痛的","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
829,pusillanimous,"膽怯的
懦弱的
缺乏勇氣的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
830,antique,"古董
古物
古老的
古董的","0.6428288
0.6428288
0.6428288
0.6428288","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
831,adept,"熟練的
擅長的
內行的
專家
能手","0.51232
0.51232
0.51232
0.51232
0.51232","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
832,artifice,"詭計
計謀
策略
狡猾","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
833,exasperate,"使惱怒
使 exasperate
激怒","0.655936
0.655936
0.655936","2025-06-22
2025-06-22
2025-06-22"
834,astronomical,"天文學的
天文數字的
極其巨大的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
835,lambaste,"嚴厲斥責
痛罵
猛烈抨擊","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
836,bellicose,"好戰的
好鬥的
挑釁的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
837,belligerent,"好戰的
交戰的
交戰國
參戰方","0.51232
0.51232
0.51232
0.51232","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
838,rebellious,"叛逆的
反抗的
不服從的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
839,forbidding,"令人生畏的
嚴峻的
險惡的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
840,brevity,"簡潔
短暫","0.5647488
0.5647488","2025-06-22
2025-06-22"
841,coincide,"同時發生
巧合
一致","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
842,nonchalant,"漠不關心的
冷淡的
漫不經心的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
843,capitulate,"投降
屈服","0.5904
0.5904","2025-03-08
2025-03-08"
844,encapsulation,"封裝
囊括","0.51232
0.51232","2025-03-08
2025-03-08"
845,caustic,"腐蝕性的
刻薄的
尖酸的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
846,chivalrous,"有騎士精神的
俠義的
彬彬有禮的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
847,chastise,"嚴厲批評
懲罰","0.5904
0.5904","2025-03-08
2025-03-08"
848,chronic,"慢性的
長期的
習以為常的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
849,succinct,"簡潔的
扼要的","0.5904
0.5904","2025-03-08
2025-03-08"
850,precocious,"早熟的
超常的","0.5904
0.5904","2025-03-08
2025-03-08"
851,codify,"編纂
系統化","0.51232
0.51232","2025-03-08
2025-03-08"
852,accolade,"榮譽
讚揚
嘉獎","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
853,concord,"和諧
一致
協和","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
854,cordial,"熱誠的
友好的
衷心的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
855,copious,"豐富的
大量的
多產的","0.56992
0.56992
0.56992","2025-03-08
2025-03-08
2025-03-08"
856,accretion,"增長
積聚
生長物
添加物","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
857,discredit,"使不相信
使丟臉
敗壞…的名聲
喪失聲譽的原因
不名譽
可疑","0.56992
0.56992
0.56992
0.56992
0.56992
0.56992","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
858,excrete,"排泄
分泌","0.5904
0.5904","2025-03-08
2025-03-08"
859,exculpate,"開脫
申辯無罪","0.5904
0.5904","2025-03-08
2025-03-08"
860,concur,"同意
意見一致
同時發生
共同起作用","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
861,decorous,"得體的
合宜的
高雅的","0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08"
862,deleterious,"有害的
有毒的","0.5904
0.5904","2025-03-08
2025-03-08"
863,dexterous,"靈巧的
敏捷的
熟練的","0.5148288
0.5148288
0.5148288","2025-03-08
2025-03-08
2025-03-08"
864,dilemma,"困境
進退兩難","0.5803648
0.5803648","2025-03-08
2025-03-08"
865,abdicate,"退位
放棄（職權、責任等）","0.5904
0.5904","2025-03-08
2025-03-08"
866,dictate,"口授
命令
指示
支配
規定
命令
指示","0.5904
0.5904
0.5904
0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
867,verdict,"判決
裁定
結論
意見","0.5904
0.5904
0.5904
0.5904","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
